id_que,content,is_correct
1,1- Phần mặt đường và lề đường.,false
1,2- Phần đường xe chạy.,true
1,3- Phần đường xe cơ giới.,false
2,"1- Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy.",false
2,"2- Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có bề rộng đủ cho xe chạy an toàn.",true
2,"3- Là đường cho xe ô tô chạy, dừng, đỗ an toàn.",false
3,"1- Là khoảng trống có kích thước giới hạn về chiều cao, chiều rộng của đường, cầu, bến phà, hầm đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.",true
3,"2- Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.",false
3,"3- Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, nằm trên đường bộ để các xe đi qua được an toàn.",false
4,1- Là bộ phận của đường để ngăn cách không cho các loại xe vào những nơi không được phép.,false
4,2- Là bộ phận của đường để phân tách phần đường xe chạy và hành lang an toàn giao thông.,false
4,3- Là bộ phận của đường để phân chia mặt đường thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường của xe cơ giới và xe thô sơ.,true
5,1- Dải phân cách gồm loại cố định và loại di động.,true
5,"2- Dải phân cách gồm tường chống ồn, hộ lan cứng và hộ lan mềm.",false
5,3- Dải phân cách gồm giá long môn và biển báo hiệu đường bộ.,false
6,1- Là người điều khiển xe cơ giới.,true
6,2- Là người điều khiển xe thô sơ.,false
6,3- Là người điều khiển xe có súc vật kéo.,false
7,1- Đường không ưu tiên.,false
7,2- Đường tỉnh lộ.,false
7,3- Đường quốc lộ.,false
7,4- Đường ưu tiên.,true
8,1- Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.,false
8,"2- Gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.",true
9,"1- Gồm xe đạp (kể cả xe đạp máy, xe đạp điện), xe xích lô, xe lăn dùng cho người khuyết tật, xe súc vật kéo và các loại xe tương tự.",true
9,"2- Gồm xe đạp (kể cả xe đạp máy, xe đạp điện), xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.",false
9,"3- Gồm xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.",false
10,1- Phương tiện giao thông cơ giới đường bộ.,false
10,2- Phương tiện giao thông thô sơ đường bộ và xe máy chuyên dùng.,false
10,3- Cả ý 1 và ý 2.,true
11,"1- Người điều khiển, người sử dụng phương tiện tham gia giao thông đường bộ.",false
11,"2- Người điều khiển, dẫn dắt súc vật; người đi bộ trên đường bộ.",false
11,3- Cả ý 1 và ý 2.,true
12,"1- Người điều khiển xe cơ giới, người điều khiển xe thô sơ.",false
12,2- Người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ.,false
12,3- Cả ý 1 và ý 2.,true
13,"1- Là người điều khiển phương tiện tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.",false
13,"2- Là cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.",true
13,"3- Là người tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.",false
14,"1- Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",false
14,"2- Là trạng thái đứng yên tạm thời của phương tiện giao thông trong một khoảng thời gian cần thiết đủ đề cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",true
14,3- Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian giữa 02 lần vận chuyển hàng hoá hoặc hành khách.,false
